REQUIREMENT_ID,NORMALIZED_RULE,IMPLEMENTATION_LOCATION,ORACLE_RULE,DESIGN_TESTS,HELD_OUT_TESTS where known after unseal,MUTANTS,RESULT,AMBIGUITY_OR_CONFLICT_REFERENCE
R01,The protocol SHALL initialize with state IDLE.,candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#reset_behavior,held_out_traces/ (25-trace frozen corpus),N/A (covered by conformance corpus),COVERED; 3/3 candidates conform,"NONE,NONE"
R02,The protocol SHALL begin a new session only when state is IDLE.,candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#wrong_session_open_ack;invalid_open_while_active,held_out_traces/ (25-trace frozen corpus),N/A (covered by conformance corpus),COVERED; 3/3 candidates conform,"NONE,NONE"
R03,"On OPEN_REQ(id) in IDLE, the protocol SHALL record id and set state to OPEN_SENT.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#happy_open_data_close,held_out_traces/ (25-trace frozen corpus),N/A (covered by conformance corpus),COVERED; 3/3 candidates conform,"NONE,NONE"
R04,"On entry to OPEN_SENT, the protocol SHALL start open_timer and set open_retry_count to 0.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#open_retry_then_ack,held_out_traces/ (25-trace frozen corpus),N/A (covered by conformance corpus),COVERED; 3/3 candidates conform,"NONE,NONE"
R05,"On OPEN_ACK(id) in OPEN_SENT with id equal to session_id, the protocol SHALL set state to OPEN.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#happy_open_data_close;open_retry_then_ack,held_out_traces/ (25-trace frozen corpus),M01,COVERED; 3/3 candidates conform,"NONE,NONE"
R06,A nonmatching OPEN_ACK SHALL NOT transition the protocol to OPEN.,candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#wrong_session_open_ack,held_out_traces/ (25-trace frozen corpus),M01,COVERED; 3/3 candidates conform,"NONE,NONE"
R07,"When transmission begins in OPEN, the first new local DATA sequence number SHALL be 0.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#happy_open_data_close;new_session_after_reset,held_out_traces/ (25-trace frozen corpus),"M04,M08",COVERED; 3/3 candidates conform,"NONE,NONE"
R08,Each accepted new local DATA SHALL use a sequence number exactly one greater than the preceding accepted new local DATA.,candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#new_session_after_reset,held_out_traces/ (25-trace frozen corpus),"M04,M08",COVERED; 3/3 candidates conform,"NONE,NONE"
R09,The protocol SHALL accept no new local DATA while tx_outstanding is present.,candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#premature_close,held_out_traces/ (25-trace frozen corpus),"M04,M08",COVERED; 3/3 candidates conform,"NONE,NONE"
R10,"On DATA_ACK(session_id, seq) matching tx_outstanding, the protocol SHALL clear tx_outstanding.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#happy_open_data_close;data_retry_then_ack,held_out_traces/ (25-trace frozen corpus),M10,COVERED; 3/3 candidates conform,"NONE,NONE"
R11,A DATA_ACK for tx_last_acked with no matching outstanding item SHALL be accepted idempotently.,candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#duplicate_data_ack,held_out_traces/ (25-trace frozen corpus),M10,COVERED; 3/3 candidates conform,"NONE,NONE"
R12,A DATA_ACK whose sequence exceeds the next locally valid acknowledgment sequence SHALL return invalid and not mutate state.,candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#future_data_ack,held_out_traces/ (25-trace frozen corpus),M10,COVERED; 3/3 candidates conform,"NONE,NONE"
